@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute shellData-1 numeric
@attribute shellData-2 numeric
@attribute shellData-3 numeric
@attribute shellData-4 numeric
@attribute shellData-5 numeric
@attribute shellData-6 numeric
@attribute shellData-7 numeric
@attribute shellData-8 numeric
@attribute shellData-9 numeric
@attribute shellData-10 numeric
@attribute shellData-11 numeric
@attribute shellData-12 numeric

@data
274,'2017/08/16 15:51:26:250',5,11.348004,1.317984,7.43392,7.380944,2.897398,2.912002,23.563669,6.073987,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
275,'2017/08/16 15:51:26:279',5,11.349289,1.317572,7.431198,7.378989,2.899022,2.913978,23.558554,6.074175,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
276,'2017/08/16 15:51:26:311',5,11.343399,1.317429,7.428923,7.377024,2.902326,2.917012,23.554985,6.072911,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
277,'2017/08/16 15:51:26:359',5,11.34112,1.319541,7.426548,7.376407,2.906629,2.921182,23.550417,6.072801,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
278,'2017/08/16 15:51:26:388',5,11.338032,1.319811,7.424619,7.375985,2.904386,2.919036,23.548033,6.073137,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
279,'2017/08/16 15:51:26:428',5,11.336485,1.319884,7.423978,7.375906,2.905873,2.92023,23.544085,6.074008,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
280,'2017/08/16 15:51:26:473',5,11.336209,1.321017,7.421948,7.375412,2.906041,2.920262,23.540192,6.073816,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
281,'2017/08/16 15:51:26:511',5,11.334883,1.322135,7.41851,7.372454,2.906881,2.921209,23.5336,6.075633,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
282,'2017/08/16 15:51:26:544',5,11.333928,1.321913,7.415179,7.370078,2.906933,2.921494,23.528042,6.077763,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
283,'2017/08/16 15:51:26:577',5,11.329224,1.320633,7.412796,7.368026,2.908723,2.923471,23.523569,6.0789,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
284,'2017/08/16 15:51:26:634',5,11.328634,1.320808,7.409257,7.365045,2.91012,2.925061,23.517822,6.080824,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
285,'2017/08/16 15:51:39:346',6,14.144123,1.208371,7.289651,7.24246,2.47904,2.56746,23.44451,6.965342,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
286,'2017/08/16 15:51:39:383',6,14.1684,1.21306,7.246517,7.199986,2.490389,2.578468,23.449986,6.980608,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
287,'2017/08/16 15:51:39:418',6,14.22342,1.216639,7.220547,7.174934,2.496348,2.584362,23.453634,6.995859,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
288,'2017/08/16 15:51:39:446',6,14.296666,1.220906,7.203834,7.159036,2.497712,2.585953,23.461117,7.009333,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
289,'2017/08/16 15:51:39:473',6,14.341532,1.225181,7.192227,7.147416,2.499689,2.587739,23.469841,7.020814,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
290,'2017/08/16 15:51:39:508',6,14.367999,1.228072,7.182868,7.1383,2.500385,2.588285,23.479414,7.030917,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
291,'2017/08/16 15:51:39:538',6,14.439691,1.231377,7.173204,7.129594,2.500014,2.58747,23.485527,7.042987,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
